#Селена
#1. Байкер Том - увлеченность ВАНКЕР, заинтересованность, страх 
#2. Старший брат - привязанность КРОЛЛЬ, радость ФЕНЫЧ, стыд
#3. Ти Джей - злость Тиль, презрение ЛУ, влечение Chayan
#4. Лиза Брэкетт - ностальгия ВОРОБЕЙКА, ЭЛЛЕТ
#5. Дедушка - духовное МИТОС, КСЮША БЫЧКОВА интерес, вдохновение МЭЛ
LYoung,80,uvlechennost'
JSpencer,80,depressiya
WThomas,80,privyazannost'
NYoung,80,radost'
CLefebvre,80,zlost'
JCollins,80,prezrenie
TSunday,80,uvlechennost'
LGeertz,80,nostal'giya
SKendall,80,nostal'giya
DAllgood,80,duhovnoe
AJane,80,duhovnoe
EJones,80,vdohnovenie
