#Daria-san
#Брат - КРОЛЛИК, ЭЙВИНД -гордость, зависимость ХИДЕКИ, САЛИМ, любовь ФЕНЫЧ
#"Тот, кто приходил за мной" - паранойя ХЕЙТЭЛЛ, страх МЫШЬ, апатия.
#"Звездная девочка" - вдохновение ЭЛЛЕТ, тоска, интерес - ЛЬВЕНОК
#"Человек потока слов" - воодушевление ЛЕНОРАН, надежда МАКДУФ, влечение.
#"Женщина рядом" - раздраженность ЛЕСЯ, секс, ярость.
WThomas,80,gordost'
JDoe,80,gordost'
Pshannon,80,zavisimost'
PAdams,80,zavisimost'
NYoung,80,lyubov'
RConnor,80,paranojya
DStanley,80,strah
SKendall,80,vdohnovenie
ABrown,80,interes
RRay,80,voodushevlenie
AMorientes,80,nadezhda
SClayton,80,razdrazhenie
