#Svirel'
#Отец - любовь МИТОС, ностальгия МЭЛ, сожаление СЕЛЕНА.
#Роже Вадим - неуверенность ИДЕН, равнодушие STREET FIGHTER. 
#Диана Вриланд - воодушевление Хэльке, предвкушение. 
#Дали - радость МАКДУФ, созидание, сопереживание ЭСФИРЬ. 
#Франко - скука , сомнение Raist КАМИЛЛ, страсть РОМА СЕДЫХ
DAllgood,80,lyubov'
HWilliams,80,somnenie
EJones,80,nostal'giya
MBanks,80,sozhalenie
DSilverstone,80,neuverennost'
JSherman,80,ravnodushie
MReed,80,voodushevlenie
AMorientes,80,radost'
RSoyfer,80,soperezhivanie
JSullivan,80,skuka
EThorp,80,strast'
