#Zmeisss
#Гилберт Томас, отец - уважение ФЕНЫЧ, привязанность, сострадание ОРРОФИН, 
#тревожность КАМИЛЛ, неприязнь - ГОТМОГ
#Робин Уайт, сослуживец во Вьетнаме - гордость, решимость ХИДЕКИ, вера САЛИМ
#Дженни Каррен, подруга и первая любовь - любовь СЦИЛА, АННА МОИСЕЕВА, 
#надежда ЛЬВЕНОК, грусть ЭТАЙН, страх Street Fighter
NYoung,80,voodushevlenie
ZCampbell,80,privyazannost'
HWilliams,80,trevozhnost'
FBuster,80,nepriyazn'
PAdams,80,gordost'
PShannon,80,vera
BHill,80,lyubov'
ALee,80,lyubov'
ABrown,80,nadezhda
BBernhard,80,grust'
JSherman,80,strah
